"referid","testid","seqid","algorithm","sp","tc","time"
"ref8","test","ptga_2_ref8","tcoffee","0.790","0.576","19307.953"
"ref8","test","ptga_2_ref8","dialign","0.558","0.214","15398.157"
"ref8","test","ptga_2_ref8","poa","0.489","0.192","2658.893"
"ref8","test","ptga_2_ref8","clustalw2","0.547","0.206","5446.718"
"ref1","test2","1ppn_ref1","tcoffee","0.983","0.971","295.784"
"ref1","test2","1ppn_ref1","dialign","0.908","0.850","144.743"
"ref1","test2","1ppn_ref1","poa","0.949","0.913","122.061"
"ref1","test2","1ppn_ref1","clustalw2","0.987","0.976","130.485"
"ref1","test3","1lcf_ref1","tcoffee","0.970","0.937","1583.284"
"ref1","test3","1lcf_ref1","dialign","0.916","0.830","1153.834"
"ref1","test3","1lcf_ref1","poa","0.922","0.839","388.75"
"ref1","test3","1lcf_ref1","clustalw2","0.948","0.903","937.627"
"ref6","test_1a","dead_ref6","tcoffee","","","27024.809"
"ref6","test_1a","dead_ref6","dialign","","","15420.384"
"ref6","test_1a","dead_ref6","poa","","","2946.124"
"ref6","test_1a","dead_ref6","clustalw2","","","8546.346"
"ref1","test3","1ped_ref1","tcoffee","0.759","0.672","373.629"
"ref1","test3","1ped_ref1","dialign","0.219","0.000","193.96"
"ref1","test3","1ped_ref1","poa","0.330","0.179","124.635"
"ref1","test3","1ped_ref1","clustalw2","0.748","0.666","132.765"
"ref3","test","1wit_ref3","tcoffee","0.827","0.587","1023.958"
"ref3","test","1wit_ref3","dialign","0.765","0.400","451.703"
"ref3","test","1wit_ref3","poa","0.661","0.162","173.795"
"ref3","test","1wit_ref3","clustalw2","0.802","0.475","118.673"
"ref2","test1","1ped_ref2","tcoffee","0.923","0.668","5454.737"
"ref2","test1","1ped_ref2","dialign","0.838","0.597","3452.302"
"ref2","test1","1ped_ref2","poa","0.886","0.480","702.989"
"ref2","test1","1ped_ref2","clustalw2","0.897","0.550","1485.569"
"ref1","test1","1dox_ref1","tcoffee","0.909","0.852","267.52"
"ref1","test1","1dox_ref1","dialign","0.912","0.840","107.769"
"ref1","test1","1dox_ref1","poa","0.901","0.852","545.759"
"ref1","test1","1dox_ref1","clustalw2","0.920","0.864","107.116"
"ref1","test1","1pfc_ref1","tcoffee","0.839","0.723","251.435"
"ref1","test1","1pfc_ref1","dialign","0.731","0.505","61.242"
"ref1","test1","1pfc_ref1","poa","0.761","0.564","119.824"
"ref1","test1","1pfc_ref1","clustalw2","0.763","0.594","40.752"
"ref6","test_2c","lrr_2_ref6","tcoffee","","","2051.007"
"ref6","test_2c","lrr_2_ref6","dialign","","","1117.691"
"ref6","test_2c","lrr_2_ref6","poa","","","474.289"
"ref6","test_2c","lrr_2_ref6","clustalw2","","","765.53"
"ref4","test","kinase2_ref4","tcoffee","0.830","0.489","9006.376"
"ref4","test","kinase2_ref4","dialign","0.466","0.000","5249.197"
"ref4","test","kinase2_ref4","poa","0.722","0.348","1544.83"
"ref4","test","kinase2_ref4","clustalw2","0.754","0.473","2267.787"
"ref6","test_4","lrr_1_ref6","tcoffee","","","6299.462"
"ref6","test_4","lrr_1_ref6","dialign","","","4139.773"
"ref6","test_4","lrr_1_ref6","poa","","","1238.455"
"ref6","test_4","lrr_1_ref6","clustalw2","","","2347.504"
"ref6","test_1b","dead_ref6","tcoffee","","","11411.238"
"ref6","test_1b","dead_ref6","dialign","","","7200.661"
"ref6","test_1b","dead_ref6","poa","","","1842.578"
"ref6","test_1b","dead_ref6","clustalw2","","","4786.608"
"ref6","test_2c","dead_ref6","tcoffee","","","31690.052"
"ref6","test_2c","dead_ref6","dialign","","","24423.566"
"ref6","test_2c","dead_ref6","poa","","","5314.379"
"ref6","test_2c","dead_ref6","clustalw2","","","11517.327"
"ref6","test_3","dead_ref6","tcoffee","","","19359.843"
"ref6","test_3","dead_ref6","dialign","","","15859.534"
"ref6","test_3","dead_ref6","poa","","","2940.956"
"ref6","test_3","dead_ref6","clustalw2","","","7835.132"
"ref6","test","sushi_ref6","tcoffee","","",""
"ref6","test","sushi_ref6","dialign","","",""
"ref6","test","sushi_ref6","poa","","",""
"ref6","test","sushi_ref6","clustalw2","","","31601.796"
"ref6","test_2a","lrr_3_ref6","tcoffee","","","901.355"
"ref6","test_2a","lrr_3_ref6","dialign","","","535.846"
"ref6","test_2a","lrr_3_ref6","poa","","","168.424"
"ref6","test_2a","lrr_3_ref6","clustalw2","","","443.781"
"ref5","test","2cba_ref5","tcoffee","0.878","0.685","773.294"
"ref5","test","2cba_ref5","dialign","0.604","0.000","467.247"
"ref5","test","2cba_ref5","poa","0.708","0.371","204.133"
"ref5","test","2cba_ref5","clustalw2","0.777","0.442","243.471"
"ref6","test_3","sh3_ref6","tcoffee","","","3859.013"
"ref6","test_3","sh3_ref6","dialign","","","2616.051"
"ref6","test_3","sh3_ref6","poa","","","747.809"
"ref6","test_3","sh3_ref6","clustalw2","","","1073.622"
"ref5","test","kinase3_ref5","tcoffee","0.917","0.690","3542.022"
"ref5","test","kinase3_ref5","dialign","0.851","0.552","2351.575"
"ref5","test","kinase3_ref5","poa","0.652","0.117","737.799"
"ref5","test","kinase3_ref5","clustalw2","0.778","0.407","1152.161"
"ref6","test_2b","lrr_2_ref6","tcoffee","","","641.57"
"ref6","test_2b","lrr_2_ref6","dialign","","","382.787"
"ref6","test_2b","lrr_2_ref6","poa","","","166.518"
"ref6","test_2b","lrr_2_ref6","clustalw2","","","329.985"
"ref7","test","dtd_ref7","tcoffee","0.843","0.290","142646.036"
"ref7","test","dtd_ref7","dialign","0.746","0.000","118787.491"
"ref7","test","dtd_ref7","poa","0.724","0.142","16335.912"
"ref7","test","dtd_ref7","clustalw2","0.733","0.229","31697.763"
"ref5","test","S52_ref5","tcoffee","0.911","0.869","403.39"
"ref5","test","S52_ref5","dialign","0.557","0.000","180.005"
"ref5","test","S52_ref5","poa","0.779","0.701","163.976"
"ref5","test","S52_ref5","clustalw2","0.902","0.841","214.614"
"ref6","test_2c","lrr_1_ref6","tcoffee","","","2515.88"
"ref6","test_2c","lrr_1_ref6","dialign","","","1420.892"
"ref6","test_2c","lrr_1_ref6","poa","","","579.571"
"ref6","test_2c","lrr_1_ref6","clustalw2","","","973.418"
"ref4","test","kinase1_ref4","tcoffee","0.922","0.776","1144.572"
"ref4","test","kinase1_ref4","dialign","0.842","0.631","502.191"
"ref4","test","kinase1_ref4","poa","0.764","0.452","252.251"
"ref4","test","kinase1_ref4","clustalw2","0.873","0.624","387.189"
"ref8","test","ptga_1_ref8","tcoffee","0.456","0.000","19819.756"
"ref8","test","ptga_1_ref8","dialign","0.572","0.227","15352.625"
"ref8","test","ptga_1_ref8","poa","0.409","0.000","2637.774"
"ref8","test","ptga_1_ref8","clustalw2","0.440","0.000","5269.892"
"ref2","test1","1tvxA_ref2","tcoffee","0.903","0.444","545.474"
"ref2","test1","1tvxA_ref2","dialign","0.844","0.000","286.044"
"ref2","test1","1tvxA_ref2","poa","0.850","0.148","133.123"
"ref2","test1","1tvxA_ref2","clustalw2","0.942","0.556","240.718"
"ref6","test_2a","lrr_2_ref6","tcoffee","","","347.107"
"ref6","test_2a","lrr_2_ref6","dialign","","","211.591"
"ref6","test_2a","lrr_2_ref6","poa","","","142.914"
"ref6","test_2a","lrr_2_ref6","clustalw2","","","162.03"
"ref6","test_1a","sh3_ref6","tcoffee","","","323.393"
"ref6","test_1a","sh3_ref6","dialign","","","127.456"
"ref6","test_1a","sh3_ref6","poa","","","143.789"
"ref6","test_1a","sh3_ref6","clustalw2","","","95.795"
"ref4","test","1csp_ref4","tcoffee","0.566","0.000","454.748"
"ref4","test","1csp_ref4","dialign","0.589","0.298","143.942"
"ref4","test","1csp_ref4","poa","0.475","0.000","134.314"
"ref4","test","1csp_ref4","clustalw2","0.498","0.000","122.351"
"ref5","test","kinase2_ref5","tcoffee","0.875","0.675","1968.056"
"ref5","test","kinase2_ref5","dialign","0.643","0.022","1065.588"
"ref5","test","kinase2_ref5","poa","0.672","0.258","343.486"
"ref5","test","kinase2_ref5","clustalw2","0.819","0.336","537.201"
